,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Size,Outlet_Location_Type,Outlet_Years,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3,Outlet_Identifier_OUT010,Outlet_Identifier_OUT013,Outlet_Identifier_OUT017,Outlet_Identifier_OUT018,Outlet_Identifier_OUT019,Outlet_Identifier_OUT027,Outlet_Identifier_OUT035,Outlet_Identifier_OUT045,Outlet_Identifier_OUT046,Outlet_Identifier_OUT049,New_Item_Type_Drinks,New_Item_Type_Food,New_Item_Type_Non-Consumable
2087,1.6308928145793153,1,-0.35710363064011036,6,-0.4037921336182644,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7318,-1.2085886540627488,2,0.5588756524901201,5,-1.7348352724284646,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
6126,1.6900486785093582,0,0.10211157740798817,8,-0.48074427945117026,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4164,-1.6510745162594704,0,-1.0183753139621294,9,0.1436597104247494,1,0,-0.13953257492561702,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
6572,-0.250263658396052,0,-2.4084670708041873,8,-0.4198081743206016,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
693,1.0629965208509027,2,0.19368819280116384,0,-0.8512199977787248,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
1270,-1.2736601043857962,0,0.4367784077109075,9,0.24203616095492644,1,0,-0.13953257492561702,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5893,1.0393341752788852,1,-0.3212138808832477,4,0.5216151477809273,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1624,-0.04913372103390589,2,1.3875526868538313,6,1.5634028749333362,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5223,0.0,2,-1.7453880280070249,6,1.6324096257998126,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2972,-0.70103134154298,1,1.4827770085600092,14,1.5393579387515839,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
6814,0.0,2,0.2575669448657156,12,0.6963528174367255,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
1555,-1.4783393935837448,2,-0.1463178513011355,13,0.7626971865622281,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8275,0.8263730651307307,0,-1.5195868771327996,9,-0.6816818408353958,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3760,0.6252431277685843,2,0.2575669448657156,13,0.10034542509240109,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3161,-0.13195193053596602,1,0.3206765889958645,14,-0.5298907544597661,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5225,0.0,1,-1.196992966589815,5,1.9622334405359925,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
1570,0.6725678189126184,2,-0.7470962006274541,13,1.801356856035857,1,0,-0.13953257492561702,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4285,1.5953992962212897,1,-0.6141773252539168,14,-1.3573872612665863,1,0,-0.13953257492561702,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
1835,1.4179317044311608,0,-0.3888888258497441,9,1.6976556420237319,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4266,-0.9187249208055381,2,-0.03859938898015883,3,-0.8762797863490753,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2740,0.7672172012006878,1,-0.5986282214776151,6,1.805583266616221,1,0,-0.13953257492561702,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4312,-0.368575386256138,0,0.273699835933623,9,0.8198308067937458,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
2379,-0.9128093344125338,1,0.5416342268661661,5,1.1747979106132622,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
821,-1.4866212145339508,2,0.4306927350841122,1,0.04097334880122213,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
5862,0.0,0,1.5194020325115614,9,1.1737830582246642,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5108,0.0,2,-0.3276885462666078,5,0.34569562471055876,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7149,0.0,1,0.2575669448657156,13,1.7312935025242893,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
2060,1.1221523847809458,1,-0.12532787361863326,13,-0.41068092593960254,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1571,-0.8666677605471002,2,0.4733312913589052,10,-0.5432861636776221,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3879,1.8556850975134784,2,0.9763079920586295,4,-0.7490828126059897,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1889,0.0,0,-0.17061574856620842,8,-1.5867631704389,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
528,1.4534252227891862,2,0.8500379004559412,6,1.3934825425651867,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7060,1.7728668880114187,2,-1.6988691853348465,6,1.5094808128935844,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5845,-0.06096489381991466,0,-2.5944736877989194,9,0.7380613236731909,1,0,-0.13953257492561702,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
5860,0.0,1,-0.9871696021105315,6,0.26549017042939377,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
4861,0.0,1,1.0843210847158329,14,-0.46472823874883307,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
1824,0.29397028976034334,1,0.9457649585828105,13,0.9283911083500133,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
1098,1.0984900392089283,1,-0.9174790974010952,5,1.9815027896865895,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
5530,1.3942693588591433,0,-0.05046343645875526,8,-0.5662744972142835,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
1921,-1.215687357734354,2,1.3101224673813832,6,-0.39094590085120007,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
8517,1.8675162702994872,2,0.5641735812301576,5,0.607611041481846,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4908,1.1458147303529624,2,-1.544901406564836,6,-1.4948098362922548,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2006,-1.2937730981220108,0,0.29712407657186074,8,-0.008214876463866387,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
98,0.0,0,-0.8450061374408276,9,0.1441671366190484,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
7140,0.7435548556286702,2,0.9931052876968819,6,-1.3146221523850297,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1003,1.5125810867192293,0,0.8990688728756575,9,-1.7284121560449328,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
3162,0.18748973468626612,2,-0.9343640709113339,10,-1.7059729989590635,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4376,-1.408535474146294,2,0.2116660996714666,4,-0.702049542887576,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
3930,-1.5718056585932128,2,-0.11065106368639331,0,1.3619161370983184,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5973,0.5897496094105583,1,0.4151503563701884,13,-0.8030466249022342,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4276,-1.686568034617496,1,-0.2361989909092623,14,-0.8655885091286861,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
6789,0.11650269797021434,2,1.32830166568819,13,0.6226122297955852,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
8116,-1.1470665555755042,1,1.010083856093389,7,-1.6754631961372861,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
2030,-0.06096489381991466,2,0.19526109545402448,5,-0.6197308833162289,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3484,0.0,0,0.6717898667854323,9,0.19445371478572085,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
233,-1.2559133452067832,1,-0.9059088269368981,3,0.18211490821295598,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
4511,-0.08462723939193177,1,-1.261454815230595,1,0.9294477109951041,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
852,0.8618665834887562,1,0.40042792112075204,3,1.0850412822697848,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1364,-0.9128093344125338,1,-0.4355083894662477,14,-1.7033106172180894,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
257,-0.996810661193195,0,1.2687972165493908,8,-0.7170089809448223,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5809,-1.3363653201516417,2,1.279772644735594,13,-0.6496915096872145,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3810,-1.2145042404557531,0,-0.14359114369231005,9,-0.27701908555649185,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
379,-1.274843221664397,2,0.2575669448657156,5,1.1775020426107292,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7273,-0.08462723939193177,1,-0.05754281001738369,6,-0.5988557550697498,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6787,0.9210224474187992,1,0.2575669448657156,6,1.8371079218265964,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2645,-1.0287548277154182,0,-0.05841625711460043,9,0.03138042448241709,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
1589,0.7435548556286702,1,0.06462331223430523,4,1.3496190807820465,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
5198,-0.9376547972631519,1,0.3812739626299453,2,0.5611269482142248,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3909,1.9503344798015478,2,-1.2601330174722718,2,-0.16850053425671735,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8236,0.0,1,0.16798884959725124,3,1.8034283110695462,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
888,-1.0571496424018385,0,1.042131555673246,9,0.34193489006800093,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
5175,1.6900486785093582,1,-0.5993657540127338,0,-1.5348708131763442,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1580,0.2703079441883262,2,1.2035529527053321,5,-1.3830379765442213,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
4109,1.8083604063694443,0,-1.1165070588566361,11,0.21904782741826512,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4238,0.222983253044292,1,0.7646309351418964,4,-1.3745434051270002,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
140,-1.1447003210183024,0,-1.3150409220792374,9,0.21845690071098017,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
6770,-1.63687710891626,2,-0.8037321371211235,1,0.7348497654814246,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4098,-1.249997758813779,1,0.027812373017325517,4,0.8973738793339369,1,0,-0.13953257492561702,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4394,-0.9376547972631519,1,0.4352524188437453,7,1.4912680663880793,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
543,-0.6761858786923618,1,-0.22229271878665965,5,-0.036527973482475946,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
3412,0.03368448846815422,1,1.3650082310732863,3,-1.011547405828069,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3043,-1.0997418644314694,1,-0.24803019199514026,4,-0.8827446529891002,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6696,0.0,1,-1.6026125766996606,4,1.74253395619547,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6565,0.0,1,1.2578442406534096,6,0.15063200325907353,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2563,0.0,1,1.4941482265483543,13,-0.2588898395639725,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4824,1.0984900392089283,1,-1.804407108956446,5,1.8745482672262044,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
6335,-1.951586305024089,1,1.0650646712989402,7,0.5531398029913027,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
6164,-1.2937730981220108,0,1.0471581980142555,11,0.04583243634536434,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6095,0.06917800682618011,0,1.372289670651795,9,0.261222009592537,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
4972,1.2168017670690143,1,1.0896765716059935,5,-0.3931008563978752,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
3535,0.18748973468626612,1,-1.6000360042036084,1,1.4335435194492763,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
7490,-0.3567442134701297,1,-0.7360509749159165,13,-1.4370435390969591,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
49,0.0,2,2.0244281456974025,4,0.8974156295904298,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
7475,0.5069313999084982,0,-0.24588686390544404,8,-0.008173126207373411,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
380,0.0,2,-1.7041284075324936,6,1.458095881825328,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7192,-1.087910691645461,1,-0.5916392273297773,7,-0.3999896487192134,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4773,0.6843989916986273,1,0.022261372172992344,0,0.8920491158519885,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4088,1.1458147303529624,2,1.0623253499566887,10,-0.633084542277592,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2849,0.0,2,0.06653379376252223,10,0.17412776299003385,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
6750,0.5069313999084982,2,-0.9226838433702867,0,1.2645962892132323,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2488,1.2641264582130485,1,0.6617536199421477,6,0.9027403930723781,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3812,-0.7708352609804306,0,-2.73784982016174,9,0.38419257275525825,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
916,0.0,1,1.2800183079550282,3,0.6360076390134415,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
2539,-0.1674454488939919,1,-1.6431748884839585,5,1.107987865549953,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
541,0.341294980904378,1,1.1529378027843828,0,-1.0013635548019788,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7275,1.1813082487109887,1,-1.0185653970371986,14,0.20083508091276003,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6192,-1.427465350603908,2,-0.19183363734826656,3,0.20565241820040928,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5373,1.1576459031389712,1,-1.7175785191575768,6,0.28315374048410735,1,0,-0.13953257492561702,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
1657,-1.4724238071907407,2,-0.20925289994517474,5,-1.6738991672978962,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
273,1.6545551601513329,1,-3.05925651052542,4,1.9766437021424468,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
7086,0.3058014625463521,0,-1.7071885598065495,9,0.8979230557847288,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2337,0.0,0,1.1966631603774567,8,-1.2820408945295634,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
2607,-1.7504563676619427,2,-0.6818105671415388,3,0.7487943511500729,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3299,-1.6948498555677023,2,0.28798003765605684,1,1.893310190182502,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
2631,0.6725678189126184,2,-0.7464783785499275,13,1.8061741933235058,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3776,-0.7708352609804306,2,0.2575669448657156,13,0.8044056927986936,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
4153,-1.5718056585932128,2,0.5555426229319883,0,1.3394352297559564,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
4557,0.7908795467727044,1,-0.629100270667394,14,-1.0601864546423654,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5378,-0.8986119270693234,0,-2.2422894138784506,11,1.1684165444862231,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
6000,0.0,1,-1.2255953342476278,2,1.4153307729437712,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7564,-1.165996432033118,0,0.3518574111347361,8,-1.5428997086557594,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1035,1.7373733696533924,2,-0.42580803772197373,2,0.2676868762325621,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8440,-0.4040689046141639,0,-0.6759458974788644,8,0.3751070746307522,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
6539,0.0,0,-1.0267546058768335,9,0.1613232804794625,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
3434,-1.5611576030858052,2,-2.222712047911849,10,0.19018555394886405,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5233,-0.04913372103390589,0,-0.326885306633407,9,-0.5555832199938943,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4061,-0.013640202675880009,0,1.3490861638466747,11,-0.526679196268,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
44,-0.1674454488939919,2,-0.32746842814861743,3,-0.23264819757905233,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5022,0.0,2,1.6479248389647116,0,-0.3176709891478663,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5085,-0.7708352609804306,1,-0.5503969332599498,13,1.6687933685543304,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
3007,0.0,2,-1.0016116541951492,0,-0.9473997425057342,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7336,-1.4736069244693415,2,0.8551834252421466,0,0.42163291815486686,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
2434,-1.3091536227438219,1,0.7077293220522866,6,-0.7752409540779239,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
2580,0.17565856190025733,2,-0.2855477563643822,6,0.25374229056391384,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
4559,0.0,2,0.1957711007093838,5,0.5584645664732505,0,0,1.53275608570862,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5615,0.5897496094105583,2,0.018147598575971063,10,0.08961239761551867,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
7019,-1.0074587167006026,2,0.2575669448657156,1,-0.15193531710358818,1,0,-0.13953257492561702,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
4574,-0.250263658396052,2,1.493282469269462,3,-0.3887491950480322,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4589,0.0,1,-0.7918443626252858,6,-1.6086531510739772,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
7801,1.0984900392089283,1,0.77798475516254,14,0.49427515289442275,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
8255,0.7908795467727044,1,0.20210576705547928,3,-0.6876392812811218,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
7646,0.18748973468626612,2,-0.9332753920772094,10,-1.6995498825755313,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
6132,-0.368575386256138,2,0.27465377711531164,5,1.8980857772136577,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
5663,-0.23843248561004365,1,1.167736715430948,4,-0.706866880175225,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
3637,-1.4333809369969122,1,-0.48174078028839024,0,-1.4578769170869454,0,1,-0.497880145061525,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
2966,-0.5578741508322758,2,-0.27111786737791715,0,0.0468890389904553,0,2,-0.020083384880314383,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
6577,1.1813082487109887,0,-1.434954697369493,8,-0.7399973144814834,0,1,-1.0951260952880382,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
6261,0.0,1,0.2575669448657156,5,1.3538872416189032,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4083,0.0,2,-2.6778265476233343,15,0.5231791766203172,1,2,1.53275608570862,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0
4415,-1.7504563676619427,2,-0.6844598345457736,3,0.7134672110406466,0,0,0.09936580516498826,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
2643,-0.841822297696482,1,-1.5909486839861307,4,1.744139735291353,1,2,-1.3340244753786434,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1132,-0.41590007740017265,1,1.5380620884455773,0,0.2531931141131219,2,2,1.2938577056180147,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
5686,-0.8974288097907227,1,0.9845675885146389,5,-0.7062759534679401,0,1,-0.7367785251521303,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
